time,comp0,comp1
0.1485,0.0990277201973,0.0402334778223
0.1486,0.0990354851977,0.040241240096
0.1487,0.099043230812,0.0402489829883
0.1488,0.0990509570886,0.0402567065476
0.1489,0.0990586640757,0.040264410822
0.149,0.0990663518215,0.0402720958598
0.1491,0.0990740203741,0.0402797617091
0.1492,0.0990816697814,0.0402874084176
0.1493,0.0990893000911,0.0402950360332
0.1494,0.099096911351,0.0403026446036
0.1495,0.0991045036086,0.0403102341764
0.1496,0.0991120769114,0.0403178047989
0.1497,0.0991196313066,0.0403253565185
0.1498,0.0991271668416,0.0403328893823
0.1499,0.0991346835633,0.0403404034375
0.15,0.0991421815188,0.0403478987311
0.1501,0.099149660755,0.0403553753098
0.1502,0.0991571213184,0.0403628332204
0.1503,0.0991645632559,0.0403702725095
0.1504,0.0991719866138,0.0403776932236
0.1505,0.0991793914386,0.0403850954091
0.1506,0.0991867777766,0.0403924791123
0.1507,0.0991941456738,0.0403998443792
0.1508,0.0992014951764,0.040407191256
0.1509,0.0992088263303,0.0404145197885
0.151,0.0992161391812,0.0404218300225
0.1511,0.0992234337749,0.0404291220038
0.1512,0.099230710157,0.0404363957779
0.1513,0.0992379683729,0.0404436513903
0.1514,0.099245208468,0.0404508888863
0.1515,0.0992524304876,0.0404581083112
0.1516,0.0992596344767,0.04046530971
0.1517,0.0992668204804,0.0404724931279
0.1518,0.0992739885436,0.0404796586096
0.1519,0.0992811387111,0.0404868061999
0.152,0.0992882710276,0.0404939359436
0.1521,0.0992953855375,0.0405010478853
0.1522,0.0993024822855,0.0405081420692
0.1523,0.0993095613158,0.0405152185399
0.1524,0.0993166226727,0.0405222773414
0.1525,0.0993236664003,0.0405293185181
0.1526,0.0993306925427,0.0405363421137
0.1527,0.0993377011436,0.0405433481723
0.1528,0.099344692247,0.0405503367376
0.1529,0.0993516658965,0.0405573078533
0.153,0.0993586221357,0.040564261563
0.1531,0.099365561008,0.0405711979101
0.1532,0.0993724825569,0.040578116938
0.1533,0.0993793868255,0.04058501869
0.1534,0.0993862738571,0.0405919032091
0.1535,0.0993931436946,0.0405987705384
0.1536,0.099399996381,0.0406056207208
0.1537,0.0994068319591,0.0406124537992
0.1538,0.0994136504716,0.0406192698162
0.1539,0.0994204519612,0.0406260688144
0.154,0.0994272364703,0.0406328508364
0.1541,0.0994340040413,0.0406396159245
0.1542,0.0994407547166,0.040646364121
0.1543,0.0994474885382,0.040653095468
0.1544,0.0994542055484,0.0406598100077
0.1545,0.099460905789,0.0406665077821
0.1546,0.0994675893019,0.0406731888329
0.1547,0.099474256129,0.0406798532019
0.1548,0.0994809063118,0.0406865009308
0.1549,0.0994875398919,0.0406931320612
0.155,0.0994941569107,0.0406997466344
0.1551,0.0995007574097,0.0407063446918
0.1552,0.0995073414301,0.0407129262747
0.1553,0.0995139090129,0.0407194914242
0.1554,0.0995204601993,0.0407260401813
0.1555,0.0995269950302,0.040732572587
0.1556,0.0995335135464,0.0407390886821
0.1557,0.0995400157887,0.0407455885072
0.1558,0.0995465017976,0.0407520721031
0.1559,0.0995529716138,0.0407585395102
0.156,0.0995594252776,0.040764990769
0.1561,0.0995658628293,0.0407714259198
0.1562,0.0995722843093,0.0407778450029
0.1563,0.0995786897576,0.0407842480582
0.1564,0.0995850792143,0.0407906351259
0.1565,0.0995914527193,0.0407970062459
0.1566,0.0995978103123,0.040803361458
0.1567,0.0996041520332,0.0408097008018
0.1568,0.0996104779216,0.0408160243171
0.1569,0.099616788017,0.0408223320434
0.157,0.0996230823588,0.04082862402
0.1571,0.0996293609864,0.0408349002864
0.1572,0.0996356239389,0.0408411608817
0.1573,0.0996418712557,0.040847405845
0.1574,0.0996481029755,0.0408536352154
